customerID,churn_real,churn_predicho,probabilidad_churn,Contract,MonthlyCharges,tenure,segmento_riesgo
0308-GIQJT,0,0.0,0.1964610477578942,One year,105.75,71,Bajo
0318-ZOPWS,0,0.0,0.06585884294737132,Two year,20.15,49,Bajo
0320-DWVTU,0,0.0,0.18485496239572408,Two year,99.5,53,Bajo
0322-CHQRU,1,1.0,0.6349102786874219,Month-to-month,45.35,2,Medio
0326-VDYXE,0,0.0,0.346016023759096,One year,97.65,70,Bajo
0330-IVZHA,1,1.0,0.7876902133511663,Month-to-month,69.95,5,Alto
0336-KXKFK,0,0.0,0.10022348786333246,Two year,61.2,72,Bajo
0345-XMMUG,0,1.0,0.46269090498345256,Two year,108.9,46,Medio
0362-RAOQO,0,0.0,0.06348836261023638,Two year,19.65,40,Bajo
0362-ZBZWJ,1,1.0,0.7193939458691347,Month-to-month,84.9,36,Alto
0366-NQSHS,0,1.0,0.36003596990583187,Month-to-month,19.35,2,Bajo
0379-DJQHR,0,0.0,0.06614649964658059,Two year,81.35,67,Bajo
0384-LPITE,0,0.0,0.2811858899435494,One year,62.05,40,Bajo
0388-EOPEX,1,1.0,0.7958737735166015,Month-to-month,74.4,2,Alto
0392-BZIUW,0,0.0,0.2457744490664593,Two year,105.0,72,Bajo
0396-UKGAI,0,0.0,0.2774933659596641,Month-to-month,55.3,23,Bajo
0397-GZBBC,1,1.0,0.5969915103776879,Month-to-month,93.85,59,Medio
0415-MOSGF,1,1.0,0.6140131951347783,Month-to-month,44.4,1,Medio
0423-UDIJQ,0,1.0,0.48576237594459604,Month-to-month,49.2,9,Medio
0428-IKYCP,0,1.0,0.748923639153243,Month-to-month,87.0,22,Alto
0430-IHCDJ,0,1.0,0.6385963301928596,Month-to-month,49.0,15,Medio
0432-CAJZV,0,1.0,0.8720370013742661,Month-to-month,90.7,3,Alto
0436-TWFFZ,0,0.0,0.10326790435259636,Two year,85.25,67,Bajo
0440-EKDCF,0,0.0,0.07017986170084722,Two year,60.15,62,Bajo
0440-MOGPM,0,1.0,0.40435848247189465,One year,80.55,41,Medio
0459-SPZHJ,0,0.0,0.09796873774238768,Two year,83.5,63,Bajo
0463-TXOAK,0,0.0,0.03897080241315054,Two year,25.6,52,Bajo
0471-ARVMX,0,1.0,0.3918314142194784,One year,104.85,62,Bajo
0481-SUMCB,0,1.0,0.6015288191313588,One year,102.15,45,Medio
0486-LGCCH,0,0.0,0.18241946276818743,Two year,19.65,11,Bajo
0487-CRLZF,0,0.0,0.1982144735794632,Two year,74.45,49,Bajo
0495-RVCBF,1,1.0,0.889583717137535,Month-to-month,79.7,1,Alto
0496-AHOOK,0,0.0,0.20967441498145967,One year,74.4,24,Bajo
0506-YLVKJ,0,0.0,0.06412394999735394,Two year,20.2,46,Bajo
0508-SQWPL,0,0.0,0.036169368430601034,Two year,20.1,57,Bajo
0516-OOHAR,0,1.0,0.5179872159641199,One year,100.35,28,Medio
0519-DRGTI,0,0.0,0.16121610964833566,Month-to-month,20.35,20,Bajo
0529-ONKER,1,1.0,0.8061103157158824,Month-to-month,75.65,15,Alto
0537-QYZZN,0,1.0,0.6707883869941853,Month-to-month,79.85,24,Medio
0562-FGDCR,0,0.0,0.03556377278149647,Two year,74.55,72,Bajo
0565-JUPYD,0,0.0,0.10906581516332237,One year,104.5,63,Bajo
0575-CUQOV,0,1.0,0.45991486211147126,One year,97.95,60,Medio
0580-PIQHM,0,1.0,0.35101184286641807,One year,101.6,41,Bajo
0584-BJQGZ,0,1.0,0.36006913826450926,Month-to-month,78.35,25,Bajo
0585-EGDDA,0,1.0,0.5728516148378461,Month-to-month,80.0,40,Medio
0587-DMGBH,1,1.0,0.5479164104927824,Month-to-month,49.85,8,Medio
0594-UFTUL,0,0.0,0.26734655873993407,Month-to-month,19.85,13,Bajo
0599-XNYDO,0,1.0,0.6921682337397651,Month-to-month,69.8,20,Medio
0607-MVMGC,0,0.0,0.20071304215349672,One year,78.75,45,Bajo
0612-RTZZA,1,1.0,0.8092907183834669,Month-to-month,25.25,1,Alto
0617-FHSGK,1,0.0,0.30712572352804635,Month-to-month,75.2,49,Bajo
0621-TSSMU,0,0.0,0.026902910718983764,One year,19.95,56,Bajo
0623-EJQEG,0,0.0,0.12572403371014806,One year,93.55,65,Bajo
0623-GDISB,0,1.0,0.5728057572202624,Month-to-month,48.45,1,Medio
0637-UBJRP,1,1.0,0.6620790138290128,Month-to-month,84.05,13,Medio
0644-OQMDK,0,1.0,0.874068290467137,Month-to-month,70.65,4,Alto
0654-HMSHN,1,1.0,0.7926363417524155,Month-to-month,104.4,21,Alto
0655-RBDUG,1,1.0,0.9061382181067944,Month-to-month,98.05,7,Alto
0657-DOGUM,0,0.0,0.08174736424975648,One year,60.6,48,Bajo
0661-WCQNQ,0,0.0,0.16039240368328533,One year,56.25,22,Bajo
0667-NSRGI,0,0.0,0.1739477261912411,One year,69.55,48,Bajo
0673-IGUQO,0,1.0,0.36903806775502,Month-to-month,20.45,1,Bajo
0674-DGMAQ,0,1.0,0.8121042671985854,Month-to-month,93.5,32,Alto
0678-RLHVP,0,1.0,0.5049608176068726,Two year,105.55,53,Medio
0689-DSXGL,0,0.0,0.1814440392015091,Month-to-month,85.8,52,Bajo
0690-SRQID,0,1.0,0.4124275699405492,Month-to-month,19.65,4,Medio
0691-IFBQW,1,1.0,0.553852590754411,One year,110.0,46,Medio
0691-NIKRI,0,1.0,0.4440036938445501,One year,105.95,40,Medio
0699-NDKJM,0,0.0,0.3304117354882167,Month-to-month,58.75,57,Bajo
0707-HOVVN,0,0.0,0.11377724766893083,Two year,75.5,70,Bajo
0719-SYFRB,1,1.0,0.43672850529695373,Month-to-month,61.65,12,Medio
0727-BMPLR,1,1.0,0.5510694979216078,One year,100.0,55,Medio
0731-EBJQB,0,0.0,0.041373265043140206,One year,20.4,52,Bajo
0733-VUNUW,1,1.0,0.4048633451953956,Month-to-month,55.65,24,Medio
0734-OXWBT,0,1.0,0.5613244029250352,Month-to-month,70.7,3,Medio
0742-LAFQK,0,0.0,0.25813505161497674,Two year,99.15,72,Bajo
0744-BIKKF,0,0.0,0.06317617000379028,Two year,86.65,72,Bajo
0744-GKNGE,0,0.0,0.12995162289761863,Month-to-month,86.8,64,Bajo
0748-RDGGM,1,0.0,0.13261537237936627,One year,109.5,70,Bajo
0750-EKNGL,0,0.0,0.31172509313281427,Month-to-month,20.75,7,Bajo
0754-EEBDC,0,0.0,0.23079979634532866,Two year,19.9,4,Bajo
0754-UKWQP,1,1.0,0.9176100907951419,Month-to-month,95.85,2,Alto
0787-LHDYT,0,0.0,0.2569583341750412,Month-to-month,20.6,16,Bajo
0810-DHDBD,0,0.0,0.06569252653788538,One year,74.0,52,Bajo
0815-MFZGM,0,1.0,0.4336097951434492,Two year,99.0,42,Medio
0817-HSUSE,0,1.0,0.7443592398532539,Month-to-month,75.5,1,Alto
0820-FNRNX,0,1.0,0.4248715029222385,Month-to-month,66.7,17,Medio
0822-GAVAP,1,1.0,0.8546402844850192,Month-to-month,34.7,2,Alto
0827-ITJPH,0,0.0,0.1019242874945947,Two year,18.55,36,Bajo
0840-DCNZE,0,0.0,0.12993596525292284,One year,86.95,47,Bajo
0847-HGRML,0,0.0,0.02224603984752338,Two year,20.0,62,Bajo
0848-ZGQIJ,0,1.0,0.8337633818938276,Month-to-month,94.65,16,Alto
0853-NWIFK,0,1.0,0.42482411358031547,One year,100.3,45,Medio
0853-TWRVK,0,0.0,0.11452835470656675,Two year,105.6,72,Bajo
0856-NAOES,0,1.0,0.6505817158106241,Month-to-month,60.9,6,Medio
0867-LDTTC,0,1.0,0.5993312677938959,Month-to-month,75.15,5,Medio
0868-VJRDR,0,0.0,0.180185145402444,Two year,104.05,64,Bajo
0870-VEMYL,1,0.0,0.3174192594495745,Month-to-month,53.85,5,Bajo
0871-OPBXW,0,1.0,0.4241163478040926,Month-to-month,20.05,2,Medio
0872-JCPIB,0,1.0,0.4800372466110481,Month-to-month,65.75,17,Medio
0876-WDUUZ,1,1.0,0.7580216007453418,Month-to-month,85.4,5,Alto
0877-SDMBN,1,1.0,0.3575187493861196,One year,103.95,54,Bajo
0880-TKATG,1,1.0,0.8802503772136464,Month-to-month,101.15,4,Alto
0897-FEGMU,1,1.0,0.9070582056865839,Month-to-month,99.5,11,Alto
0902-RFHOF,0,0.0,0.06613106980222772,One year,20.1,38,Bajo
0909-SELIE,0,0.0,0.09674879376023815,Two year,80.8,61,Bajo
0923-PNFUB,1,1.0,0.8445157046140424,Month-to-month,83.75,3,Alto
0925-VYDLG,1,1.0,0.8349365677620725,Month-to-month,75.25,3,Alto
0927-LCSMG,1,1.0,0.7677186656500412,Month-to-month,74.65,7,Alto
0928-JMXNP,0,1.0,0.8489050987053726,Month-to-month,29.9,4,Alto
0929-HYQEW,0,1.0,0.5839151549198511,Month-to-month,50.15,3,Medio
0930-EHUZA,0,0.0,0.15121196517934055,One year,76.35,36,Bajo
0939-YAPAF,1,1.0,0.7843017288781425,Month-to-month,100.25,35,Alto
0945-TSONX,0,0.0,0.1381245185690787,Two year,85.3,47,Bajo
0947-IDHRQ,1,1.0,0.8465392265897808,Month-to-month,80.3,7,Alto
0956-ACVZC,0,1.0,0.36314176695829414,One year,94.1,54,Bajo
0956-SYCWG,0,0.0,0.17913401215149216,One year,19.65,13,Bajo
0961-ZWLVI,0,0.0,0.3299817659073817,One year,109.2,49,Bajo
0963-ZBDRN,1,1.0,0.661131791570374,Month-to-month,96.2,32,Medio
0967-BMLBD,0,0.0,0.18236293572019024,One year,20.0,11,Bajo
0968-GSIKN,1,1.0,0.8408908907964903,Month-to-month,70.8,1,Alto
0973-KYVNF,0,0.0,0.051234955150413986,Two year,70.65,72,Bajo
0979-PHULV,1,1.0,0.3529859071545546,Month-to-month,99.45,69,Bajo
0980-FEXWF,0,0.0,0.21204666828403862,One year,50.35,26,Bajo
0983-TATYJ,0,0.0,0.17180195671747933,One year,51.45,33,Bajo
0993-OSGPT,0,0.0,0.058167378020436256,One year,60.65,68,Bajo
1015-JPFYW,0,0.0,0.16543774558572932,One year,19.45,7,Bajo
1015-OWJKI,0,1.0,0.37005193042213,Month-to-month,19.05,1,Bajo
1025-FALIX,0,1.0,0.6096015497057994,Month-to-month,69.05,26,Medio
1027-LKKQQ,0,0.0,0.04799421400059156,Two year,80.45,72,Bajo
1041-RXHRA,1,1.0,0.40493798303756123,Month-to-month,70.25,41,Medio
1042-HFUCW,0,0.0,0.15239102629196,One year,54.75,25,Bajo
1043-UXOVO,0,0.0,0.17636831010873444,Two year,113.15,71,Bajo
1047-NNCBF,0,1.0,0.6031735878475841,Month-to-month,70.55,20,Medio
1051-GEJLJ,0,1.0,0.3515755324186701,Month-to-month,19.5,2,Bajo
1053-MXTTK,0,0.0,0.11796412874169437,Two year,108.65,72,Bajo
1063-DHQJF,0,0.0,0.145136021471153,Two year,92.15,69,Bajo
1074-WVEVG,0,0.0,0.02779245159601962,One year,20.35,59,Bajo
1088-CNNKB,0,0.0,0.04795141919824941,One year,80.0,63,Bajo
1090-PYKCI,0,0.0,0.08762738583998275,One year,105.1,69,Bajo
1092-GANHU,1,1.0,0.7658749504597253,Month-to-month,76.65,17,Alto
1095-WGNGG,0,1.0,0.44222049897101046,Two year,101.05,61,Medio
1099-BTKWT,0,0.0,0.17610875499522727,One year,54.4,68,Bajo
1104-FEJAM,0,1.0,0.4507786742463693,Month-to-month,64.4,28,Medio
1110-KYLGQ,0,0.0,0.31404771702358036,Month-to-month,108.25,63,Bajo
1125-SNVCK,0,0.0,0.21721968641277412,Month-to-month,43.8,49,Bajo
1135-LMECX,0,1.0,0.36113827143975497,Month-to-month,19.85,1,Bajo
1142-IHLOO,0,0.0,0.31106560870129174,One year,87.55,51,Bajo
1150-WFARN,1,0.0,0.15586039080999126,Two year,108.75,67,Bajo
1154-HYWWO,0,0.0,0.10698486996999701,One year,70.6,38,Bajo
1159-WFSGR,0,0.0,0.20058790522243863,Month-to-month,20.4,16,Bajo
1163-VIPRI,0,0.0,0.16602624355297646,Two year,109.3,65,Bajo
1166-PQLGG,0,0.0,0.014434254030332605,Two year,19.55,72,Bajo
1169-WCVAK,0,1.0,0.5495352922939283,Month-to-month,88.8,19,Medio
1170-SASML,0,0.0,0.295338522205431,Month-to-month,85.4,69,Bajo
1174-FGIFN,0,1.0,0.48386097810728035,One year,90.45,28,Medio
1177-XZBJL,0,0.0,0.04098589644934714,One year,64.15,53,Bajo
1179-INLAT,0,0.0,0.2992926798621963,One year,19.45,3,Bajo
1183-CANVH,0,0.0,0.21965297980425247,One year,60.0,23,Bajo
1206-EHBDD,0,0.0,0.17108635133309813,Two year,80.3,56,Bajo
1207-BLKSA,0,0.0,0.04648669290157348,Two year,23.05,52,Bajo
1212-GLHMD,0,1.0,0.8256279567613578,Month-to-month,86.05,3,Alto
1215-VFYVK,0,1.0,0.6136996980131063,Month-to-month,48.25,4,Medio
1216-JWVUX,0,1.0,0.6386286562755004,Month-to-month,75.5,25,Medio
1221-GHZEP,0,0.0,0.0709482786169745,Two year,65.1,62,Bajo
1222-KJNZD,0,0.0,0.09486442695703357,Month-to-month,20.4,40,Bajo
1223-UNPKS,0,0.0,0.13197101340516515,Two year,20.05,20,Bajo
1226-IENZN,0,1.0,0.8546844954579456,Month-to-month,78.75,16,Alto
1229-RCALF,0,0.0,0.2279832812483824,One year,115.0,64,Bajo
1258-YMZNM,0,1.0,0.6861963154660362,One year,110.5,27,Medio
1260-TTRXI,1,1.0,0.6885641343951527,Month-to-month,54.3,4,Medio
1269-FOYWN,0,0.0,0.03656750092541472,One year,20.0,44,Bajo
1270-XKUCC,0,0.0,0.08760982193011813,Two year,19.7,30,Bajo
1271-UODNO,0,0.0,0.1863965427267823,Two year,53.85,39,Bajo
1273-MTETI,1,1.0,0.9254556349491897,Month-to-month,88.85,4,Alto
1293-HHSHJ,0,0.0,0.07192370074760812,One year,21.1,35,Bajo
1297-VQDRP,0,0.0,0.20975053116388664,One year,107.15,68,Bajo
1298-PHBTI,0,0.0,0.14133692298365774,Two year,84.8,71,Bajo
1304-BCCFO,0,1.0,0.7586316273616311,Month-to-month,70.05,9,Alto
1307-TVUFB,0,1.0,0.613632788684979,Month-to-month,79.35,42,Medio
1310-QRITU,0,1.0,0.5997931605369338,Month-to-month,50.3,18,Medio
1320-REHCS,0,1.0,0.6119453000994377,Month-to-month,110.75,52,Medio
1335-HQMKX,0,0.0,0.3351920886610501,One year,101.35,72,Bajo
1345-GKDZZ,0,0.0,0.2620286260619965,Month-to-month,19.55,6,Bajo
1346-PJWTK,0,0.0,0.21310369062147816,Month-to-month,94.15,61,Bajo
1353-GHZOS,0,0.0,0.3148454751145122,One year,59.75,22,Bajo
1354-YZFNB,0,0.0,0.19800090498543044,Two year,19.55,4,Bajo
1355-KUSBG,0,1.0,0.5715666961474231,Month-to-month,48.8,7,Medio
1371-OJCEK,0,0.0,0.04959640153510092,One year,24.35,48,Bajo
1373-ORVIZ,1,1.0,0.5647595816827249,Month-to-month,66.35,11,Medio
1376-HHBDV,0,0.0,0.3063220249436258,Month-to-month,48.8,30,Bajo
1389-WNUIB,0,0.0,0.31915137515234937,One year,76.0,20,Bajo
1400-MMYXY,1,1.0,0.9488585137469603,Month-to-month,105.9,3,Alto
1403-LKLIK,0,0.0,0.06041885300504557,One year,20.1,33,Bajo
1406-PUQVY,0,1.0,0.6545843302475763,Month-to-month,49.9,1,Medio
1415-YFWLT,1,1.0,0.9331720705063996,Month-to-month,89.3,1,Alto
1428-GTBJJ,1,1.0,0.8049279712218332,Month-to-month,74.55,11,Alto
1431-AIDJQ,0,0.0,0.20361724313943452,Two year,82.1,33,Bajo
1431-CYWMH,0,0.0,0.13838355716071438,Month-to-month,19.05,22,Bajo
1442-OKRJE,0,0.0,0.17957843536447138,One year,103.15,66,Bajo
1444-VVSGW,1,0.0,0.11606857834702189,One year,115.65,70,Bajo
1449-XQEMT,1,1.0,0.4227088630892847,Month-to-month,19.8,3,Medio
1450-GALXR,1,1.0,0.8552278581444223,Month-to-month,98.5,10,Alto
1450-SKCVI,1,1.0,0.385839165704148,Month-to-month,73.85,56,Bajo
1452-UZOSF,0,0.0,0.10334072726491683,Two year,106.1,72,Bajo
1452-XRSJV,0,0.0,0.1221263413678948,Month-to-month,51.05,39,Bajo
1455-ESIQH,1,1.0,0.9177207546785381,Month-to-month,89.1,1,Alto
1455-HFBXA,0,0.0,0.1975705942821997,Two year,91.6,52,Bajo
1459-QNFQT,0,0.0,0.06971576404039714,Two year,59.5,70,Bajo
1470-PSXNM,0,1.0,0.41314615514550346,One year,93.65,49,Medio
1472-TNCWL,0,1.0,0.6748888646943509,Month-to-month,94.7,36,Medio
1475-VWVDO,0,1.0,0.8318598082192505,Month-to-month,74.9,7,Alto
1480-IVEVR,0,1.0,0.5596918561584556,One year,81.6,35,Medio
1482-OXZSY,0,1.0,0.7113624157269186,Month-to-month,100.4,30,Alto
1488-SYSFC,0,0.0,0.15780015011624215,Month-to-month,20.65,31,Bajo
1496-GGSUK,1,1.0,0.839388473610372,Month-to-month,25.7,1,Alto
1502-XFCVR,1,0.0,0.31485665589768197,One year,106.45,58,Bajo
1513-XNPPH,1,1.0,0.7684812214796836,Month-to-month,89.4,12,Alto
1518-VOWAV,1,1.0,0.6879851478095176,Month-to-month,74.65,9,Medio
1539-LNKHM,0,0.0,0.2614252134169348,Month-to-month,20.4,12,Bajo
1543-LLLFT,0,0.0,0.2978435617175743,One year,98.3,61,Bajo
1548-FEHVL,0,1.0,0.4741335183539589,Month-to-month,106.2,61,Medio
1550-EENBN,0,1.0,0.6784117239784946,Month-to-month,104.35,31,Medio
1555-DJEQW,1,0.0,0.15682056811404232,Two year,114.2,70,Bajo
1564-HJUVY,0,1.0,0.6020235563964604,Month-to-month,63.75,4,Medio
1565-RHDJD,1,1.0,0.7626651265706209,Month-to-month,84.05,4,Alto
1567-DSCIC,1,1.0,0.8931823982624805,Month-to-month,94.0,8,Alto
1569-TTNYJ,1,1.0,0.8733453794539466,Month-to-month,78.75,5,Alto
1571-SAVHK,1,1.0,0.8355692198983974,Month-to-month,99.95,12,Alto
1573-LGXBA,0,0.0,0.2926577759287552,One year,97.55,57,Bajo
1576-PFZIW,0,0.0,0.21930470217104658,Two year,105.35,70,Bajo
1591-XWLGB,0,0.0,0.018129421396724132,Two year,19.85,71,Bajo
1599-EAHXY,0,0.0,0.022068139461326575,One year,23.95,60,Bajo
1619-YWUBB,0,0.0,0.03544005642102099,Two year,24.95,68,Bajo
1622-HSHSF,0,1.0,0.4349074542388768,Month-to-month,19.55,1,Medio
1625-JAIIY,1,0.0,0.22445774272933217,One year,83.0,68,Bajo
1626-ERCMM,1,1.0,0.897194564576778,Month-to-month,94.55,20,Alto
1642-HMARX,0,0.0,0.11413335257907375,Two year,91.7,68,Bajo
1644-IRKSF,1,1.0,0.5777035680091009,One year,93.8,33,Medio
1656-DRSMG,0,1.0,0.36012906141698175,Month-to-month,109.85,63,Bajo
1657-DYMBM,0,0.0,0.03956835929381097,Two year,19.9,53,Bajo
1658-TJVOA,0,1.0,0.8085819863854204,Month-to-month,74.1,6,Alto
1658-XUHBX,0,1.0,0.43058030815471215,Month-to-month,88.75,59,Medio
1678-FYZOW,1,1.0,0.8779358392481023,Month-to-month,79.4,3,Alto
1679-JRFBR,0,0.0,0.17425324911687257,One year,108.15,70,Bajo
1680-VDCWW,0,0.0,0.16486379305052512,One year,19.8,12,Bajo
1682-VCOIO,0,0.0,0.11810966769487363,One year,20.45,23,Bajo
1685-BQULA,0,1.0,0.6448784332330864,Month-to-month,93.4,40,Medio
1686-STUHN,0,0.0,0.05148856867076834,One year,19.8,42,Bajo
1696-HXOWK,0,0.0,0.13931624854134328,One year,95.65,71,Bajo
1697-NVVGY,0,1.0,0.4705553398158452,Month-to-month,66.4,19,Medio
1698-XFZCI,0,1.0,0.35355563887518293,One year,107.75,61,Bajo
1703-MGIAB,0,1.0,0.5509447620463725,Month-to-month,69.0,17,Medio
1704-NRWYE,1,1.0,0.8792303834757438,Month-to-month,80.85,9,Alto
1707-HABPF,0,1.0,0.4537831719155183,One year,91.3,46,Medio
1732-FEKLD,0,1.0,0.37427926134568856,One year,94.75,54,Bajo
1732-VHUBQ,1,0.0,0.3447018750083427,Month-to-month,70.55,47,Bajo
1740-CSDJP,1,1.0,0.8391676242951889,Month-to-month,35.25,1,Alto
1744-JHKYS,0,0.0,0.1670293407008454,Month-to-month,24.7,34,Bajo
1768-HNVGJ,0,0.0,0.2715325105829426,Month-to-month,70.05,45,Bajo
1771-OADNZ,1,1.0,0.8290976187263596,Month-to-month,95.9,29,Alto
1784-EZDKJ,0,1.0,0.4982153828256768,One year,106.8,51,Medio
1790-NESIO,0,0.0,0.2603273907033762,Two year,20.4,13,Bajo
1809-DMJHQ,1,1.0,0.5005226288932727,Month-to-month,46.0,5,Medio
1813-JLKWR,0,0.0,0.015458964803608533,One year,19.8,64,Bajo
1830-GGFNM,0,0.0,0.07667051883296894,Two year,94.55,65,Bajo
1830-IPXVJ,0,0.0,0.02076966949705905,Two year,19.75,61,Bajo
1832-PEUTS,0,0.0,0.28167058106690945,Two year,89.1,62,Bajo
1837-YQUCE,0,0.0,0.11481736239091911,Two year,58.35,70,Bajo
1841-YSJGV,0,0.0,0.17031747356261318,Two year,109.95,72,Bajo
1842-EZJMK,1,1.0,0.4117567032602544,Month-to-month,103.7,50,Medio
1845-ZLLIG,0,1.0,0.6964231813662958,Month-to-month,50.15,1,Medio
1852-QSWCD,0,0.0,0.03946932112481172,Two year,24.8,64,Bajo
1852-XEMDW,0,1.0,0.3923457507422973,Month-to-month,65.05,22,Bajo
1853-UDXBW,1,1.0,0.8219748964958922,Month-to-month,70.0,1,Alto
1855-AGAWH,0,1.0,0.672656135290349,One year,93.8,31,Medio
1866-DIOQZ,0,0.0,0.06795677497853125,One year,66.8,71,Bajo
1866-OBPNR,0,1.0,0.7219908653033754,Month-to-month,74.6,1,Alto
1866-ZSLJM,0,0.0,0.17048162131283184,Month-to-month,20.5,21,Bajo
1867-BDVFH,1,1.0,0.7969968268779006,Month-to-month,74.35,11,Alto
1871-MOWRM,1,1.0,0.49801936673884173,Month-to-month,80.85,12,Medio
1872-EBWSC,0,0.0,0.09108522338910685,One year,20.35,29,Bajo
1875-QIVME,1,1.0,0.8964408955837273,Month-to-month,104.4,2,Alto
1891-UAWWU,1,1.0,0.8241116855635364,Month-to-month,90.8,20,Alto
1895-QTKDO,0,1.0,0.5670160146043115,Month-to-month,43.95,1,Medio
1899-VXWXM,1,1.0,0.4991914314601045,One year,106.1,48,Medio
1907-YLNYW,0,1.0,0.6438616435016191,Month-to-month,66.7,8,Medio
1915-IOFGU,1,1.0,0.8109398168411703,Month-to-month,70.5,1,Alto
1921-KYSAY,0,0.0,0.23342418681408994,One year,68.6,41,Bajo
1925-LFCZZ,0,1.0,0.366954639360075,One year,50.05,55,Bajo
1927-QEWMY,0,0.0,0.01740024728962064,Two year,20.5,72,Bajo
1934-SJVJK,1,1.0,0.36925522707242386,Month-to-month,20.15,1,Bajo
1935-IMVBB,0,1.0,0.44678624684219537,Month-to-month,89.7,56,Medio
1937-OTUKY,0,0.0,0.1372272077651152,Two year,98.2,72,Bajo
1941-HOSAM,0,1.0,0.8944650621840148,Month-to-month,90.1,1,Alto
